chapter,similar_chapter,similarity
1,2,0.6226
1,3,0.7734
1,4,0.3123
1,5,0.1406
1,6,0.1004
1,7,0.2528
1,8,0.4648
1,9,0.2134
1,10,0.1138
2,3,0.6962
2,4,0.7835
2,5,0.1822
2,6,0.2965
2,7,0.3335
2,8,0.4667
2,9,0.3907
2,10,0.2772
3,4,0.6498
3,5,0.6371
3,6,0.3437
3,7,0.1314
3,8,0.3359
3,9,0.261
3,10,0.3406
4,5,0.6259
4,6,0.6134
4,7,0.4843
4,8,0.4985
4,9,0.4305
4,10,0.3413
5,6,0.6298
5,7,0.7633
5,8,0.3949
5,9,0.2041
5,10,0.2486
6,7,0.6017
6,8,0.8418
6,9,0.4027
6,10,0.3838
7,8,0.6698
7,9,0.8131
7,10,0.1127
8,9,0.7499
8,10,0.6789
9,10,0.8517
