chapter,entity_type,count
1,PERSON,3
1,LOCATION,10
1,ORGANIZATION,7
1,ANIMAL,5
1,OBJECT,4
2,PERSON,10
2,LOCATION,1
2,ORGANIZATION,10
2,ANIMAL,7
2,OBJECT,10
3,PERSON,4
3,LOCATION,7
3,ORGANIZATION,9
3,ANIMAL,10
3,OBJECT,6
4,PERSON,0
4,LOCATION,0
4,ORGANIZATION,0
4,ANIMAL,0
4,OBJECT,4
5,PERSON,3
5,LOCATION,8
5,ORGANIZATION,3
5,ANIMAL,0
5,OBJECT,5
6,PERSON,9
6,LOCATION,6
6,ORGANIZATION,5
6,ANIMAL,9
6,OBJECT,6
7,PERSON,0
7,LOCATION,1
7,ORGANIZATION,10
7,ANIMAL,2
7,OBJECT,2
8,PERSON,0
8,LOCATION,0
8,ORGANIZATION,10
8,ANIMAL,6
8,OBJECT,7
9,PERSON,4
9,LOCATION,5
9,ORGANIZATION,10
9,ANIMAL,0
9,OBJECT,5
10,PERSON,9
10,LOCATION,1
10,ORGANIZATION,7
10,ANIMAL,4
10,OBJECT,9
