chapter,pos_tag,count,percentage
1,N,18,18.99
1,V,82,24.42
1,ADJ,31,10.5
1,ADV,19,19.18
1,PRON,12,8.58
1,PREP,77,13.2
1,CONJ,76,5.97
1,DET,31,23.49
1,NUM,39,14.67
1,PUNCT,70,12.57
2,N,78,19.75
2,V,86,14.03
2,ADJ,53,10.66
2,ADV,54,18.8
2,PRON,94,12.97
2,PREP,86,13.92
2,CONJ,43,22.7
2,DET,32,23.4
2,NUM,73,16.83
2,PUNCT,94,6.49
3,N,43,13.77
3,V,57,8.61
3,ADJ,42,12.98
3,ADV,38,16.13
3,PRON,16,10.46
3,PREP,52,5.47
3,CONJ,73,20.93
3,DET,55,22.48
3,NUM,63,15.28
3,PUNCT,74,20.57
4,N,36,22.58
4,V,75,13.28
4,ADJ,44,21.56
4,ADV,74,20.61
4,PRON,48,7.05
4,PREP,44,16.61
4,CONJ,72,8.35
4,DET,92,13.74
4,NUM,67,20.93
4,PUNCT,78,11.95
5,N,97,20.36
5,V,55,12.08
5,ADJ,74,16.23
5,ADV,58,17.59
5,PRON,46,17.63
5,PREP,26,8.3
5,CONJ,16,6.56
5,DET,96,22.72
5,NUM,80,6.72
5,PUNCT,82,20.63
6,N,63,17.07
6,V,87,14.97
6,ADJ,68,21.4
6,ADV,45,20.76
6,PRON,41,18.16
6,PREP,72,9.14
6,CONJ,34,19.86
6,DET,96,17.33
6,NUM,88,10.28
6,PUNCT,60,6.66
7,N,71,17.58
7,V,94,13.59
7,ADJ,61,17.74
7,ADV,35,17.27
7,PRON,43,5.86
7,PREP,19,20.17
7,CONJ,94,6.03
7,DET,28,22.92
7,NUM,47,15.49
7,PUNCT,72,12.37
8,N,67,12.2
8,V,97,13.99
8,ADJ,34,15.15
8,ADV,82,20.45
8,PRON,58,14.23
8,PREP,11,10.41
8,CONJ,63,15.32
8,DET,56,16.75
8,NUM,41,17.79
8,PUNCT,26,6.83
9,N,28,5.6
9,V,42,14.62
9,ADJ,16,23.5
9,ADV,67,17.92
9,PRON,14,17.39
9,PREP,47,6.16
9,CONJ,74,8.57
9,DET,55,7.97
9,NUM,67,14.38
9,PUNCT,59,6.99
10,N,97,10.49
10,V,74,20.79
10,ADJ,81,23.07
10,ADV,100,22.4
10,PRON,39,22.69
10,PREP,78,8.14
10,CONJ,69,19.92
10,DET,48,14.86
10,NUM,46,8.93
10,PUNCT,25,12.87
