emotion,word,frequency,rank
trust,เชื่อ,89,1
trust,ไว้วางใจ,22,2
trust,ศรัทธา,32,3
trust,เชื่อถือ,105,4
trust,วางใจ,51,5
trust,trust_word1,36,6
trust,trust_word2,52,7
trust,trust_word3,37,8
trust,trust_word4,84,9
trust,trust_word5,27,10
trust,trust_word6,16,11
trust,trust_word7,23,12
trust,trust_word8,78,13
trust,trust_word9,68,14
joy,สุข,73,1
joy,ยินดี,84,2
joy,ดีใจ,39,3
joy,เบิกบาน,26,4
joy,ร่าเริง,107,5
joy,joy_word1,18,6
joy,joy_word2,76,7
joy,joy_word3,114,8
joy,joy_word4,120,9
joy,joy_word5,84,10
joy,joy_word6,140,11
joy,joy_word7,30,12
joy,joy_word8,21,13
joy,joy_word9,104,14
anger,โกรธ,29,1
anger,โมโห,149,2
anger,ขุ่นเคือง,74,3
anger,โกรธา,145,4
anger,เดือดดาล,133,5
anger,anger_word1,57,6
anger,anger_word2,132,7
anger,anger_word3,116,8
anger,anger_word4,109,9
anger,anger_word5,46,10
anger,anger_word6,15,11
anger,anger_word7,19,12
anger,anger_word8,59,13
anger,anger_word9,103,14
anticipation,คาดหวัง,32,1
anticipation,รอคอย,22,2
anticipation,คาดการณ์,8,3
anticipation,หวัง,16,4
anticipation,รอ,97,5
anticipation,anticipation_word1,27,6
anticipation,anticipation_word2,54,7
anticipation,anticipation_word3,142,8
anticipation,anticipation_word4,92,9
anticipation,anticipation_word5,28,10
anticipation,anticipation_word6,86,11
anticipation,anticipation_word7,115,12
anticipation,anticipation_word8,60,13
anticipation,anticipation_word9,68,14
fear,กลัว,42,1
fear,หวาดกลัว,102,2
fear,วิตก,91,3
fear,กังวล,85,4
fear,หวั่น,112,5
fear,fear_word1,5,6
fear,fear_word2,139,7
fear,fear_word3,123,8
fear,fear_word4,54,9
fear,fear_word5,22,10
fear,fear_word6,135,11
fear,fear_word7,105,12
fear,fear_word8,117,13
fear,fear_word9,58,14
disgust,รังเกียจ,58,1
disgust,ขยะแขยง,14,2
disgust,เกลียด,32,3
disgust,ไม่ชอบ,40,4
disgust,รังเกียจ,19,5
disgust,disgust_word1,134,6
disgust,disgust_word2,75,7
disgust,disgust_word3,60,8
disgust,disgust_word4,85,9
disgust,disgust_word5,67,10
disgust,disgust_word6,82,11
disgust,disgust_word7,144,12
disgust,disgust_word8,87,13
disgust,disgust_word9,96,14
surprise,ประหลาดใจ,91,1
surprise,แปลกใจ,87,2
surprise,ตกใจ,144,3
surprise,น่าประหลาด,145,4
surprise,อัศจรรย์,96,5
surprise,surprise_word1,107,6
surprise,surprise_word2,49,7
surprise,surprise_word3,61,8
surprise,surprise_word4,88,9
surprise,surprise_word5,18,10
surprise,surprise_word6,113,11
surprise,surprise_word7,17,12
surprise,surprise_word8,64,13
surprise,surprise_word9,93,14
sadness,เศร้า,142,1
sadness,เสียใจ,124,2
sadness,ทุกข์,61,3
sadness,โศก,93,4
sadness,หดหู่,87,5
sadness,sadness_word1,56,6
sadness,sadness_word2,131,7
sadness,sadness_word3,74,8
sadness,sadness_word4,119,9
sadness,sadness_word5,33,10
sadness,sadness_word6,102,11
sadness,sadness_word7,41,12
sadness,sadness_word8,124,13
sadness,sadness_word9,89,14
