chapter,entity_type,count
1,DATE,1
1,LOCATION,4
1,PERSON,31
2,LOCATION,2
2,ORGANIZATION,2
2,PERSON,5
3,ORGANIZATION,1
3,PERSON,11
3,TIME,1
4,LAW,1
4,LOCATION,5
4,ORGANIZATION,2
4,PERSON,28
5,LOCATION,2
5,MONEY,12
5,ORGANIZATION,1
5,PERSON,36
6,DATE,3
6,LOCATION,2
6,ORGANIZATION,1
6,PERSON,32
7,LOCATION,4
7,PERSON,20
8,LOCATION,4
8,PERSON,27
9,LOCATION,7
9,ORGANIZATION,1
9,PERSON,15
9,TIME,1
10,ORGANIZATION,1
10,PERSON,30
11,PERSON,21
12,LOCATION,1
12,ORGANIZATION,1
12,PERSON,18
13,LOCATION,2
13,PERSON,28
14,LAW,1
14,LOCATION,2
14,ORGANIZATION,1
14,PERSON,23
15,LOCATION,4
15,ORGANIZATION,1
15,PERSON,41
16,LOCATION,5
16,ORGANIZATION,1
16,PERSON,13
17,LAW,1
17,ORGANIZATION,1
17,PERSON,12
18,LOCATION,2
18,ORGANIZATION,3
18,PERSON,17
19,LAW,1
19,LOCATION,1
19,ORGANIZATION,1
19,PERSON,10
20,LAW,1
20,LOCATION,2
20,PERSON,57
21,LOCATION,10
21,ORGANIZATION,1
21,PERSON,19
22,LOCATION,2
22,ORGANIZATION,2
22,PERSON,14
23,ORGANIZATION,3
23,PERSON,16
24,ORGANIZATION,1
24,PERSON,9
25,LOCATION,1
25,ORGANIZATION,1
25,PERSON,46
26,LAW,1
26,LOCATION,4
26,PERSON,33
27,LOCATION,2
27,PERSON,27
28,MONEY,1
28,ORGANIZATION,3
28,PERSON,27
29,MONEY,1
29,ORGANIZATION,1
29,PERSON,19
30,DATE,2
30,LOCATION,1
30,PERSON,25
31,LOCATION,1
31,PERSON,32
32,LOCATION,2
32,ORGANIZATION,1
32,PERSON,5
33,LOCATION,1
33,PERSON,15
34,LOCATION,1
34,ORGANIZATION,1
34,PERSON,26
35,LOCATION,1
35,ORGANIZATION,1
35,PERSON,21
36,LAW,1
36,LOCATION,2
36,PERSON,12
37,PERSON,12
38,LAW,1
38,LOCATION,2
38,ORGANIZATION,1
38,PERSON,16
39,LOCATION,1
39,PERSON,10
40,PERSON,9
41,LAW,1
41,LOCATION,3
41,MONEY,4
41,PERSON,27
41,TIME,1
42,PERSON,29
43,LOCATION,1
43,PERSON,17
44,LOCATION,1
44,MONEY,1
44,ORGANIZATION,1
44,PERSON,18
45,LOCATION,2
45,ORGANIZATION,3
45,PERSON,15
46,LOCATION,6
46,MONEY,1
46,PERSON,16
47,LAW,1
47,LOCATION,2
47,PERSON,9
48,LOCATION,2
48,PERSON,45
49,LOCATION,2
49,ORGANIZATION,1
49,PERSON,27
50,PERSON,27
51,ORGANIZATION,1
51,PERSON,24
52,DATE,1
52,PERSON,23
52,TIME,1
53,LAW,2
53,LOCATION,3
53,ORGANIZATION,3
53,PERSON,21
54,ORGANIZATION,2
54,PERSON,12
55,PERSON,6
56,PERSON,18
57,LAW,1
57,PERSON,14
58,LAW,1
58,PERSON,4
59,LOCATION,1
59,MONEY,2
59,ORGANIZATION,1
59,PERSON,4
60,LOCATION,4
60,ORGANIZATION,4
60,PERSON,21
60,TIME,1
61,LOCATION,4
61,PERSON,11
62,LOCATION,5
62,ORGANIZATION,2
62,PERSON,21
63,DATE,1
63,ORGANIZATION,2
63,PERSON,21
64,ORGANIZATION,1
64,PERSON,26
65,DATE,2
65,LOCATION,1
65,ORGANIZATION,3
65,PERSON,10
66,LAW,2
66,ORGANIZATION,1
66,PERSON,11
67,LOCATION,2
67,PERSON,10
68,PERSON,38
69,ORGANIZATION,1
69,PERSON,17
70,LOCATION,1
70,MONEY,1
70,PERSON,13
71,LAW,2
71,ORGANIZATION,1
71,PERSON,19
72,LOCATION,1
72,ORGANIZATION,2
72,PERSON,31
73,LOCATION,7
73,ORGANIZATION,1
73,PERSON,17
74,LOCATION,2
74,ORGANIZATION,3
74,PERSON,17
75,PERSON,7
76,DATE,3
76,ORGANIZATION,2
76,PERSON,12
77,LOCATION,4
77,PERSON,12
78,LOCATION,3
78,PERSON,27
79,ORGANIZATION,1
79,PERSON,14
80,DATE,1
80,LOCATION,2
80,PERSON,26
81,DATE,1
81,LOCATION,3
81,PERSON,7
82,LOCATION,7
82,ORGANIZATION,5
82,PERSON,15
83,LOCATION,3
83,ORGANIZATION,1
83,PERSON,9
83,TIME,1
84,PERSON,21
85,LOCATION,2
85,PERSON,30
86,PERSON,14
87,LOCATION,1
87,PERSON,17
88,PERSON,19
89,LOCATION,2
89,PERSON,14
90,LOCATION,1
90,ORGANIZATION,1
90,PERSON,10
91,ORGANIZATION,1
91,PERSON,26
92,LOCATION,1
92,MONEY,1
92,PERSON,11
93,LOCATION,2
93,ORGANIZATION,2
93,PERSON,2
94,LOCATION,1
94,ORGANIZATION,2
94,PERSON,21
95,LOCATION,1
95,PERSON,8
96,DATE,1
96,LOCATION,2
96,PERSON,29
97,PERSON,7
98,LOCATION,1
98,PERSON,11
99,LOCATION,4
99,ORGANIZATION,2
99,PERSON,34
100,ORGANIZATION,2
100,PERSON,25
101,PERSON,4
102,LOCATION,9
102,ORGANIZATION,1
102,PERSON,46
103,LOCATION,1
103,ORGANIZATION,1
103,PERSON,18
104,LOCATION,2
104,PERSON,31
105,LOCATION,1
105,PERSON,8
106,ORGANIZATION,1
106,PERSON,6
107,LOCATION,1
107,PERSON,7
108,LAW,1
108,PERSON,5
109,LOCATION,1
109,ORGANIZATION,1
109,PERSON,38
110,LOCATION,5
110,PERSON,17
111,LOCATION,1
111,ORGANIZATION,1
111,PERSON,16
112,PERSON,10
113,LOCATION,5
113,PERSON,12
114,LOCATION,1
114,MONEY,1
114,ORGANIZATION,1
114,PERSON,15
115,PERSON,3
116,LOCATION,1
116,ORGANIZATION,1
116,PERSON,5
117,PERSON,16
118,LOCATION,2
118,ORGANIZATION,1
118,PERSON,24
119,LOCATION,1
119,ORGANIZATION,1
119,PERSON,21
120,ORGANIZATION,1
120,PERSON,14
121,DATE,1
121,LAW,1
121,LOCATION,1
121,PERSON,7
122,PERSON,13
123,LOCATION,2
123,PERSON,26
124,LOCATION,3
124,ORGANIZATION,4
124,PERSON,11
125,LOCATION,2
125,PERSON,2
126,LAW,1
126,LOCATION,3
126,PERSON,14
127,PERSON,10
128,LOCATION,1
128,PERSON,20
129,LOCATION,3
129,ORGANIZATION,1
129,PERSON,22
130,LOCATION,2
130,ORGANIZATION,1
130,PERSON,21
131,ORGANIZATION,2
131,PERSON,14
132,LOCATION,2
132,PERSON,11
133,PERSON,13
134,LOCATION,2
134,ORGANIZATION,3
134,PERSON,11
135,LOCATION,1
135,PERSON,10
136,DATE,1
136,PERSON,10
137,PERSON,9
138,LOCATION,1
138,PERSON,13
138,TIME,2
