chapter,entity,entity_type,count
1,เมือง,DATE,1
1,เกาะ,LOCATION,1
1,เกาะตามพปัณณิ,LOCATION,1
1,เกาะตามพโอ้,LOCATION,1
1,เกาะยักษิณี,LOCATION,1
1,นะจ๊ะพี่,PERSON,1
1,น้องพี่,PERSON,1
1,น้องหญิงพี่ภิกษุ,PERSON,1
1,พระวลาหกเมืองยักษ์สิริัตถุตั้งอยู่เกาะตามพปัณณิห้วงมหาสมุทรเกาะตามพปัณณิเมืองยักษ์สิริัตถุ,PERSON,1
1,พระสัมมาสัมพุทธเจ้า,PERSON,2
1,พี่,PERSON,1
1,พี่นะจ๊ะ,PERSON,1
1,ยักษิณี,PERSON,6
1,ยักษิณีชายหลงกิเลส,PERSON,1
1,ยักษ์,PERSON,4
1,ยักษ์พากันเรืออับปาง,PERSON,1
1,วลาหกม้ามายังเกาะยักษิณีม้าวลาหก,PERSON,1
1,สวย,PERSON,1
1,สวรรค์สวรรค์แท้ๆ,PERSON,1
1,สำเภา,PERSON,5
1,สำเภายักษ์,PERSON,1
1,สำเภาโอ้ย,PERSON,1
1,หญิงงาม,PERSON,1
2,แผ่นหิน,LOCATION,2
2,สำนักของอาจารย์,ORGANIZATION,1
2,สำนักทิศาปาโมกข์,ORGANIZATION,1
2,พระเจ้าตรัสเล่ามตกภัต,PERSON,1
2,พระเชตวันมหาพระบรมศาสดา,PERSON,1
2,พระเชตวันมหาศาสดา,PERSON,1
2,มาลัยดอกไม้,PERSON,1
2,หินขนาดใหญ่คมกริบ,PERSON,1
3,สำนักทิศาปาโมกข์,ORGANIZATION,1
3,พระศาสดา,PERSON,1
3,พระสัมมาสัมพุทธเจ้า,PERSON,1
3,พระสัมมาสัมพุทธเจ้าประทับพระเชตวันมหาวิหารสัมมาสัมพุทธเจ้าประทับพระเชตวันมหาวิหาร,PERSON,1
3,พระโพธิสัตว์บังเกิดสกุลอุทิจจพราหมณ์,PERSON,1
3,พระโพธิ์สัตว์,PERSON,3
3,พระโพธิ์สัตว์บังเกิดสกุลอุทิจจพราหมณ์อาจารย์ทิศาปาโมกข์ผู้มีชื่อเสียง,PERSON,1
3,ลูกไก่,PERSON,1
3,เจ้า,PERSON,1
3,เที่ยง,PERSON,1
3,เช้า,TIME,1
4,พราหมณ์เฒ่ามีลูกสาวสวยเมืองตักศิลาความงามลูกสาวพราหมณ์ตักศิลา,LAW,1
4,ชั้นบ้านพี่,LOCATION,1
4,บ้านของพราหมณ์เฒ่า,LOCATION,1
4,ป่าท้ายเฒ่า,LOCATION,1
4,วัดปฏิบัติธรรม,LOCATION,1
4,เมืองตักศิลา,LOCATION,1
4,พราหมณ์เมืองตักศิลา,ORGANIZATION,1
4,อีกครั้งหนึ่ง,ORGANIZATION,1
4,จิตใจพราหมณ์,PERSON,1
4,นี้แหละขอรับ,PERSON,1
4,น้อง,PERSON,3
4,น้องกัลยาณมิตร,PERSON,1
4,น้องทั้งคู่,PERSON,1
4,น้องพี่ฮือ,PERSON,1
4,น้องอย่า,PERSON,1
4,พระสัมมาสัมพุทธเจ้า,PERSON,1
4,พระสัมมาสัมพุทธเจ้าเสวยพระชาติ,PERSON,1
4,พราหมณ์หนุ่มหน้าบ้าน,PERSON,1
4,พี่น้อง,PERSON,1
4,ฟังโดยมีญาติน้องกัลยาณมิตรเรื่อยมา,PERSON,1
4,มีลูกสาวหน้าบ้าน,PERSON,1
4,มุ่งมั่นเพียร,PERSON,1
4,ลักษณะสิบแล้วนะ,PERSON,1
4,หนุ่มน้อยหนุ่มใหญ่เลือกคู่,PERSON,1
4,หล่อ,PERSON,1
4,หวังนะจ๊ะ,PERSON,1
4,หวานเฮ้อเซ็งจิต,PERSON,1
4,อาจารย์ญาณ,PERSON,1
4,เนอะพี่เนอะ,PERSON,1
4,เฝ้าพวกเราวัยรุ่นเซ็ง,PERSON,1
4,เองก็มีใจ,PERSON,1
4,เฮ้อกลุ้มใจจริงมีลูกสาว,PERSON,1
4,แหมพี่พราหมณ์,PERSON,1
4,แหมเจ้า,PERSON,1
5,เมืองสาเกต,LOCATION,2
5,ชาติ,MONEY,10
5,ชาติชาติ,MONEY,2
5,พระศาสดา,ORGANIZATION,1
5,ขององค์พระศาสดา,PERSON,2
5,พระตถาคต,PERSON,2
5,พระพุทธองค์ประทับภิกษุสงฆ์พราหมณีหมอบแทบเท้าครำครวญ,PERSON,1
5,พระศาสดา,PERSON,6
5,พระศาสดาคร่ำครวญพราหมณ์,PERSON,1
5,พระศาสดาความสัมพันธ์ลึกซึ้ง,PERSON,1
5,พระศาสดาชาติ,PERSON,2
5,พระศาสดาชาติอดีตชาติพราหมณ์ปู่ขององค์พระศาสดา,PERSON,1
5,พระศาสดาพราหมณ์,PERSON,1
5,พระศาสดาเองก็ความสงสัย,PERSON,1
