chapter,pos_tag,count,percentage
1,ADJ,10,2.07
1,ADP,4,0.83
1,ADV,6,1.24
1,AUX,3,0.62
1,DET,2,0.41
1,NOUN,310,64.18
1,PART,1,0.21
1,PRON,7,1.45
1,PROPN,26,5.38
1,SCONJ,5,1.04
1,VERB,109,22.57
2,ADJ,3,0.67
2,ADP,5,1.11
2,ADV,4,0.89
2,AUX,2,0.45
2,NOUN,319,71.05
2,PRON,21,4.68
2,PROPN,3,0.67
2,SCONJ,13,2.9
2,VERB,79,17.59
3,ADJ,11,2.13
3,ADP,3,0.58
3,ADV,12,2.32
3,AUX,4,0.77
3,CCONJ,1,0.19
3,DET,2,0.39
3,NOUN,346,66.92
3,PRON,1,0.19
3,PROPN,1,0.19
3,SCONJ,10,1.93
3,VERB,126,24.37
4,ADJ,23,2.67
4,ADP,10,1.16
4,ADV,16,1.86
4,AUX,3,0.35
4,DET,9,1.05
4,NOUN,574,66.74
4,NUM,12,1.4
4,PART,3,0.35
4,PRON,4,0.47
4,PROPN,8,0.93
4,SCONJ,10,1.16
4,VERB,188,21.86
5,ADP,4,0.77
5,ADV,12,2.32
5,AUX,5,0.97
5,CCONJ,3,0.58
5,DET,6,1.16
5,NOUN,391,75.48
5,PRON,2,0.39
5,PROPN,22,4.25
5,SCONJ,4,0.77
5,VERB,69,13.32
6,ADJ,10,1.43
6,ADP,12,1.72
6,ADV,9,1.29
6,AUX,1,0.14
6,DET,2,0.29
6,NOUN,483,69.2
6,PRON,12,1.72
6,PROPN,5,0.72
6,SCONJ,9,1.29
6,VERB,155,22.21
7,ADJ,16,3.67
7,ADP,6,1.38
7,ADV,5,1.15
7,CCONJ,1,0.23
7,DET,21,4.82
7,NOUN,305,69.95
7,NUM,5,1.15
7,PRON,8,1.83
7,PROPN,2,0.46
7,SCONJ,4,0.92
7,VERB,63,14.45
8,ADJ,11,1.4
8,ADP,5,0.64
8,ADV,12,1.53
8,AUX,7,0.89
8,DET,10,1.28
8,NOUN,534,68.2
8,NUM,1,0.13
8,PART,1,0.13
8,PRON,6,0.77
8,PROPN,12,1.53
8,SCONJ,14,1.79
8,VERB,170,21.71
9,ADJ,10,1.57
9,ADP,4,0.63
9,ADV,3,0.47
9,CCONJ,1,0.16
9,DET,2,0.31
9,NOUN,471,74.17
9,PART,1,0.16
9,PRON,13,2.05
9,PROPN,2,0.31
9,SCONJ,7,1.1
9,VERB,121,19.06
10,ADJ,1,0.19
10,ADP,6,1.15
10,ADV,4,0.76
10,AUX,1,0.19
10,CCONJ,2,0.38
10,DET,4,0.76
10,NOUN,356,68.07
10,NUM,7,1.34
10,PRON,5,0.96
10,PROPN,28,5.35
10,SCONJ,8,1.53
10,VERB,101,19.31
11,ADJ,7,1.73
11,ADP,1,0.25
11,ADV,11,2.72
11,AUX,6,1.48
11,CCONJ,1,0.25
11,DET,2,0.49
11,NOUN,280,69.14
11,NUM,1,0.25
11,PART,3,0.74
11,PRON,6,1.48
11,SCONJ,7,1.73
11,VERB,80,19.75
12,ADJ,3,0.53
12,ADP,4,0.7
12,ADV,8,1.4
12,AUX,2,0.35
12,DET,3,0.53
12,NOUN,408,71.45
12,PRON,11,1.93
12,SCONJ,15,2.63
12,VERB,117,20.49
13,ADJ,5,0.97
13,ADP,4,0.77
13,ADV,7,1.35
13,AUX,5,0.97
13,DET,3,0.58
13,NOUN,390,75.29
13,PRON,3,0.58
13,PROPN,11,2.12
13,VERB,90,17.37
14,ADJ,7,0.87
14,ADP,6,0.74
14,ADV,20,2.48
14,AUX,6,0.74
14,CCONJ,3,0.37
14,DET,4,0.5
14,NOUN,586,72.61
14,NUM,2,0.25
14,PART,6,0.74
14,PRON,9,1.12
14,PROPN,3,0.37
14,SCONJ,3,0.37
14,VERB,152,18.84
15,ADJ,18,2.28
15,ADP,3,0.38
15,ADV,2,0.25
15,AUX,2,0.25
15,DET,5,0.63
15,NOUN,621,78.81
15,NUM,2,0.25
15,PRON,8,1.02
15,PROPN,10,1.27
15,SCONJ,5,0.63
15,VERB,112,14.21
16,ADJ,2,0.44
16,ADP,1,0.22
16,ADV,11,2.4
16,AUX,2,0.44
16,DET,2,0.44
16,NOUN,343,74.73
16,PROPN,2,0.44
16,SCONJ,7,1.53
16,VERB,89,19.39
17,ADJ,5,1.13
17,ADP,4,0.9
17,ADV,10,2.25
17,DET,2,0.45
17,NOUN,325,73.2
17,NUM,1,0.23
17,SCONJ,3,0.68
17,VERB,94,21.17
18,ADJ,5,0.96
18,ADP,3,0.58
18,ADV,3,0.58
18,AUX,1,0.19
18,DET,4,0.77
18,NOUN,353,68.02
18,NUM,3,0.58
18,PRON,10,1.93
18,PROPN,2,0.39
18,SCONJ,6,1.16
18,VERB,129,24.86
19,ADJ,8,1.4
19,ADP,2,0.35
19,ADV,13,2.28
19,AUX,4,0.7
19,CCONJ,1,0.18
19,DET,3,0.53
19,NOUN,427,74.91
19,NUM,6,1.05
19,PROPN,2,0.35
19,SCONJ,1,0.18
19,VERB,103,18.07
20,ADJ,12,1.41
20,ADP,2,0.23
20,ADV,9,1.06
20,AUX,7,0.82
20,CCONJ,1,0.12
20,DET,11,1.29
20,NOUN,627,73.59
20,NUM,2,0.23
20,PRON,20,2.35
20,PROPN,10,1.17
20,SCONJ,7,0.82
20,VERB,144,16.9
21,ADJ,14,3.48
21,ADV,10,2.49
21,AUX,3,0.75
21,CCONJ,2,0.5
21,DET,2,0.5
21,NOUN,272,67.66
21,PRON,6,1.49
21,PROPN,2,0.5
21,SCONJ,3,0.75
21,VERB,88,21.89
22,ADJ,5,1.39
22,ADP,1,0.28
22,ADV,2,0.56
22,AUX,1,0.28
22,DET,7,1.94
22,NOUN,264,73.33
22,NUM,3,0.83
22,PRON,13,3.61
22,PROPN,1,0.28
22,VERB,63,17.5
23,ADJ,10,2.55
23,ADP,1,0.26
23,ADV,9,2.3
23,AUX,5,1.28
23,CCONJ,3,0.77
23,DET,5,1.28
23,NOUN,282,71.94
23,PRON,5,1.28
23,PROPN,1,0.26
23,SCONJ,5,1.28
23,VERB,66,16.84
24,ADJ,3,1.35
24,ADP,1,0.45
24,ADV,5,2.25
24,DET,2,0.9
24,NOUN,146,65.77
24,PRON,3,1.35
24,SCONJ,2,0.9
24,VERB,60,27.03
25,ADJ,2,0.39
25,ADP,1,0.2
25,ADV,6,1.18
25,AUX,1,0.2
25,NOUN,427,83.73
25,PRON,2,0.39
25,PROPN,8,1.57
25,VERB,63,12.35
26,ADJ,15,2.4
26,ADP,6,0.96
26,ADV,5,0.8
26,AUX,6,0.96
26,CCONJ,2,0.32
26,DET,4,0.64
26,NOUN,440,70.51
26,NUM,2,0.32
26,PART,1,0.16
26,PRON,12,1.92
26,PROPN,10,1.6
26,SCONJ,10,1.6
26,VERB,111,17.79
27,ADJ,19,3.73
27,ADP,4,0.78
27,ADV,19,3.73
27,AUX,3,0.59
27,CCONJ,3,0.59
27,DET,2,0.39
27,NOUN,344,67.45
27,NUM,1,0.2
27,PART,1,0.2
27,PRON,8,1.57
27,SCONJ,7,1.37
27,VERB,99,19.41
28,ADJ,8,1.6
28,ADP,4,0.8
28,ADV,13,2.6
28,AUX,4,0.8
28,CCONJ,1,0.2
28,DET,2,0.4
28,NOUN,313,62.6
28,NUM,2,0.4
28,PART,1,0.2
28,PRON,15,3.0
28,PROPN,2,0.4
28,SCONJ,12,2.4
28,VERB,123,24.6
29,ADJ,5,1.49
29,ADP,3,0.9
29,ADV,3,0.9
29,AUX,1,0.3
29,DET,4,1.19
29,NOUN,255,76.12
29,NUM,1,0.3
29,PROPN,4,1.19
29,VERB,59,17.61
30,ADJ,3,0.68
30,ADP,13,2.93
30,ADV,7,1.58
30,AUX,4,0.9
30,DET,2,0.45
30,NOUN,289,65.24
30,PART,1,0.23
30,PRON,12,2.71
30,PROPN,3,0.68
30,SCONJ,9,2.03
30,VERB,100,22.57
31,ADJ,1,0.24
31,ADP,3,0.72
31,ADV,2,0.48
31,AUX,3,0.72
31,CCONJ,2,0.48
31,DET,3,0.72
31,NOUN,322,77.59
31,NUM,2,0.48
31,PRON,8,1.93
31,PROPN,2,0.48
31,SCONJ,5,1.2
31,VERB,62,14.94
32,ADJ,8,2.19
32,ADP,4,1.09
32,ADV,5,1.37
32,AUX,4,1.09
32,NOUN,255,69.67
32,PART,1,0.27
32,PROPN,3,0.82
32,VERB,86,23.5
33,ADJ,6,0.94
33,ADP,5,0.78
33,ADV,22,3.45
33,AUX,6,0.94
33,CCONJ,2,0.31
33,DET,7,1.1
33,NOUN,402,63.11
33,PRON,2,0.31
33,PROPN,2,0.31
33,SCONJ,23,3.61
33,VERB,160,25.12
34,ADJ,6,1.35
34,ADP,1,0.23
34,ADV,6,1.35
34,AUX,5,1.13
34,DET,3,0.68
34,NOUN,302,68.02
34,NUM,3,0.68
34,PROPN,2,0.45
34,SCONJ,4,0.9
34,VERB,112,25.23
35,ADJ,11,3.43
35,ADP,3,0.93
35,ADV,11,3.43
35,AUX,1,0.31
35,NOUN,225,70.09
35,NUM,3,0.93
35,PRON,4,1.25
35,PROPN,15,4.67
35,SCONJ,3,0.93
35,VERB,45,14.02
36,ADJ,12,3.42
36,ADV,9,2.56
36,DET,4,1.14
36,NOUN,241,68.66
36,PART,1,0.28
36,PRON,5,1.42
36,SCONJ,3,0.85
36,VERB,76,21.65
37,ADJ,5,0.97
37,ADP,10,1.94
37,ADV,6,1.17
