chapter,total_words,unique_words
1,483,130
2,449,101
3,517,117
4,860,211
5,518,97
6,698,155
7,436,87
8,783,174
9,635,127
10,523,125
11,405,128
12,571,143
13,518,129
14,807,193
15,788,183
16,459,101
17,444,115
18,519,142
19,570,145
20,852,168
21,402,121
22,360,91
23,392,106
24,222,78
25,510,124
26,624,149
27,510,120
28,500,138
29,335,102
30,443,106
31,415,106
32,366,85
33,637,134
34,444,92
35,321,112
36,351,108
37,515,127
38,432,112
39,293,80
40,513,119
41,753,153
42,831,175
43,591,148
44,544,124
45,581,141
46,495,130
47,294,88
48,706,150
49,728,192
50,325,94
51,483,132
52,301,90
53,496,128
54,580,151
55,273,64
56,379,107
57,384,105
58,216,63
59,228,66
60,503,120
61,334,87
62,492,108
63,491,117
64,250,64
65,487,93
66,229,79
67,354,108
68,495,139
69,353,102
70,299,100
71,381,113
72,365,114
73,406,122
74,524,123
75,301,72
76,322,80
77,257,78
78,609,129
79,380,114
80,398,97
81,393,117
82,628,132
83,344,97
84,702,183
85,422,117
86,375,85
87,312,87
88,465,117
89,359,106
90,348,73
91,389,91
92,433,104
93,421,88
94,380,91
95,308,83
96,546,142
97,227,56
98,335,99
99,459,113
100,311,91
101,325,80
102,849,204
103,424,116
104,462,89
105,268,71
106,333,70
107,538,123
108,315,68
109,472,125
110,527,120
111,524,113
112,317,97
113,710,160
114,326,87
115,339,92
116,359,90
117,473,114
118,584,121
119,513,122
120,267,71
121,433,88
122,529,122
123,480,125
124,688,152
125,314,70
126,342,92
127,371,88
128,439,125
129,522,139
130,284,78
131,263,82
132,430,108
133,547,142
134,389,86
135,431,102
136,486,133
137,186,50
138,633,145
139,384,93
140,680,168
141,1023,266
142,365,104
143,197,66
144,306,90
145,385,104
146,408,121
147,94,34
148,836,187
149,380,99
150,314,82
151,595,112
152,165,57
153,177,48
154,100,26
155,168,46
156,544,144
157,320,93
158,343,85
159,525,144
160,765,158
161,508,139
162,377,104
163,244,59
164,464,115
165,297,90
166,479,115
167,398,111
168,362,75
169,338,92
170,359,95
171,186,56
172,226,70
173,501,125
174,536,137
175,109,39
176,93,33
177,366,95
178,422,101
179,750,167
180,378,101
181,210,56
182,169,56
183,368,88
184,231,69
185,284,80
186,1027,244
187,727,178
188,124,40
189,268,78
190,196,61
191,411,107
192,398,114
193,205,63
194,136,41
195,249,80
196,184,58
197,541,148
198,244,68
199,133,50
200,371,107
201,239,71
202,222,69
203,588,160
204,328,76
205,390,88
206,95,33
207,83,33
208,279,86
209,251,66
210,110,30
211,63,20
212,662,138
213,150,51
214,86,30
215,136,42
216,246,79
217,138,46
218,436,100
219,436,115
220,417,126
221,132,41
222,132,43
223,627,141
224,123,43
225,186,66
226,935,229
227,295,92
228,383,107
229,291,98
230,155,47
231,100,33
232,276,74
233,348,88
234,354,101
235,330,87
236,118,38
237,175,58
238,473,108
239,668,165
240,394,95
241,192,53
242,219,63
243,206,56
244,150,40
245,341,91
246,153,49
247,592,155
248,392,105
249,232,79
250,797,170
251,75,28
252,90,30
253,104,40
254,447,110
255,208,69
256,390,102
257,107,35
258,282,76
259,200,55
260,199,66
261,154,40
262,91,28
263,157,42
264,182,49
265,123,39
266,108,32
267,195,57
268,145,37
269,105,35
270,181,55
271,125,38
272,94,32
273,88,29
274,49,17
275,80,28
276,296,63
277,216,60
278,138,41
279,136,44
280,163,45
281,142,43
282,83,28
283,167,45
284,118,40
285,298,83
286,127,40
287,195,74
288,130,39
289,181,49
290,140,48
291,207,56
292,201,60
293,312,93
294,177,48
295,156,44
296,184,59
297,159,51
298,85,21
299,153,39
300,125,36
301,70,24
302,93,32
303,115,38
304,75,27
305,102,31
306,117,39
307,88,28
308,88,31
309,118,38
310,118,38
311,122,39
312,147,43
313,137,41
314,114,42
