cluster,word,frequency,rank
1,พราหมณ์,74,1
1,เจ้า,66,2
1,แพะ,46,3
1,อาจารย์,44,4
1,พี่,38,5
1,ภิกษุ,36,6
1,ไก่,34,7
1,พวกเรา,31,8
1,ท่าน,28,9
1,ทิศาปาโมกข์,27,10
1,หนุ่ม,26,11
1,ขัน,26,12
1,ตัว,25,13
1,เฒ่า,25,14
1,พระ,24,15
1,รู้,24,16
1,ขอรับ,22,17
1,ยักษ์,19,18
1,ฆ่า,19,19
1,น้อง,18,20
1,ศิษย์,18,21
1,เวลา,18,22
1,สัตว์,17,23
1,มานพ,17,24
1,ลูกสาว,17,25
1,กิน,16,26
1,สี่,16,27
1,พ่อ,15,28
1,บรรดา,14,29
1,มตกภัต,14,30
1,สำเภา,13,31
1,เกาะ,13,32
1,ฟัง,13,33
1,สาปาโมกข์,13,34
1,เมือง,12,35
1,ยักษิณี,12,36
1,พ่อค้า,12,37
1,สำนัก,12,38
1,ตื่น,12,39
1,หล่อ,12,40
1,ศีล,12,41
1,ลูก,11,42
1,มนุษย์,10,43
1,ลูกเรือ,10,44
1,สวย,10,45
1,ญาติ,10,46
1,เลี้ยง,10,47
1,นะจ๊ะ,9,48
1,รัก,9,49
1,เลือก,9,50
1,ท่านอาจารย์,9,51
1,ตรัส,8,52
1,สัมมา,8,53
1,สัมพุทธ,8,54
1,วลาหก,8,55
1,หลง,8,56
1,หนี,8,57
1,ตาย,8,58
1,สาว,8,59
1,ล่ะ,8,60
1,เอ๋ย,8,61
1,ชาติ,8,62
1,รู้จัก,8,63
1,ปลุก,8,64
1,ลูกสาวทั้ง,8,65
1,ความงาม,7,66
1,หญิง,7,67
1,เรือ,7,68
1,ที่จะ,7,69
1,บริวาร,7,70
1,ม้า,7,71
1,ปล่อย,7,72
1,เช้า,7,73
1,ชายหนุ่ม,7,74
1,ความรัก,7,75
1,เศรษฐี,7,76
1,แล้วนะ,6,77
1,ไปยัง,6,78
1,ไหว,6,79
1,อร่อย,6,80
1,ศาสดา,6,81
1,ดังนี้,6,82
1,เล่า,6,83
1,ร้องไห้,6,84
1,หิน,6,85
1,พระโพธิสัตว์,6,86
1,บวช,6,87
1,แบบนี้,6,88
1,ดีกว่า,6,89
1,เรียน,6,90
1,แหม,6,91
1,ของกระผม,6,92
1,กิเลส,5,93
1,คอย,5,94
1,พ้น,5,95
1,อย่า,5,96
1,หรอก,5,97
1,มีความสุข,5,98
1,หวาน,5,99
1,ของอาจารย์,5,100
1,ศีรษะ,5,101
1,ดังนั้น,5,102
1,แผ่น,5,103
1,เป็นเวลา,5,104
1,อ้าว,5,105
1,ตัก,5,106
1,ศิลา,5,107
1,เฮ้อ,5,108
1,คนที่,5,109
1,หนู,5,110
1,เฝ้า,5,111
1,จีบลูกสาว,5,112
1,ที่มา,5,113
1,อับปาง,4,114
1,ตามพ,4,115
1,เนื้อ,4,116
1,น้องๆ,4,117
1,พากัน,4,118
1,ปกติ,4,119
1,แปลงกาย,4,120
1,สวรรค์,4,121
1,งาม,4,122
1,ฝั่ง,4,123
1,หัวหน้า,4,124
1,เข้าไป,4,125
1,ขนาด,4,126
1,แน่ๆ,4,127
1,สาย,4,128
1,มายัง,4,129
1,ความดี,4,130
1,เชตวัน,4,131
1,มหา,4,132
1,กาลนั้น,4,133
1,ปานา,4,134
1,ธรรม,4,135
1,จัก,4,136
1,ลูกศิษย์,4,137
1,ญาณ,4,138
1,หัวเราะ,4,139
1,บังเกิด,4,140
1,รุกข,4,141
1,เทวา,4,142
1,ศึกษา,4,143
1,พระธรรม,4,144
1,สงสัย,4,145
1,หลับ,4,146
1,เรื่อง,4,147
1,ส่งเสียง,4,148
1,โพธิ์,4,149
1,ตัวใหม่,4,150
1,ป่าช้า,4,151
1,จับไก่,4,152
1,ผิดเวลา,4,153
1,เป็นแน่,4,154
1,มีลูกสาว,4,155
1,ขนมจีบ,4,156
1,แวะเวียน,4,157
1,กลัดกลุ้ม,4,158
1,อย่างมีความสุข,4,159
1,เลือกคู่,4,160
1,ตัดสินใจ,4,161
1,อีกครั้ง,4,162
1,ทั้งคู่,4,163
1,พินาศ,3,164
1,ปัณณิ,3,165
1,แตก,3,166
1,ผู้ชาย,3,167
1,อ้วน,3,168
1,อาหาร,3,169
1,บ่วง,3,170
1,ดูแล,3,171
1,หัวหน้านาย,3,172
1,โอ้ย,3,173
1,ติด,3,174
1,ดินแดนมนุษย์,3,175
1,อุทิศ,3,176
1,ประดับ,3,177
1,บาต,3,178
1,กรรมนั้น,3,179
1,ดอกไม้,3,180
1,ตัด,3,181
1,ไปดู,3,182
1,ภาพ,3,183
1,ภัย,3,184
1,ตั้งใจ,3,185
1,ส่งเสียงดัง,3,186
1,นอน,3,187
1,เหมือนกัน,3,188
1,กาล,3,189
1,ตอนเช้า,3,190
1,แทน,3,191
1,เหล่ามานพ,3,192
1,หนุ่มน้อย,3,193
1,ว่างเว้น,3,194
1,ขาย,3,195
1,ล้ำ,3,196
1,ชั้น,3,197
1,หน้า,3,198
1,พี่ชาย,3,199
1,บ้านของ,3,200
1,เค้า,3,201
1,บ้าน,3,202
1,หน้าบ้าน,3,203
1,เลือกคู่ครอง,3,204
1,แม่,3,205
1,เมีย,3,206
1,สั่งเสีย,3,207
1,คิดถึง,3,208
1,ฮือ,3,209
1,จิตใจ,3,210
1,ประเดี๋ยว,3,211
1,ป่า,3,212
1,วัยรุ่น,3,213
1,ทำให้พราหมณ์,3,214
1,ความสุข,3,215
1,ข้อดี,3,216
1,ที่มารุม,3,217
1,ความคิดเห็น,3,218
1,ลูกเขย,3,219
1,รูปลักษณ์,3,220
1,ครั้งแรก,3,221
1,ท่าที,3,222
1,งั้น,3,223
1,คนเรา,3,224
1,ชีวิต,3,225
1,นั้นแหละ,3,226
1,สวัสดี,3,227
1,อกหัก,3,228
1,แนะนำ,3,229
1,วัด,3,230
1,กัลยาณมิตร,3,231
1,เรือสำเภา,2,232
1,อำนาจกิเลส,2,233
1,สตรี,2,234
1,เสียง,2,235
1,ชาย,2,236
1,อำนาจ,2,237
1,เวลานี้,2,238
1,สิริ,2,239
1,ัตถุ,2,240
1,ตั้งอยู่,2,241
1,ห้วง,2,242
1,มหาสมุทร,2,243
1,โอ้,2,244
1,หิว,2,245
1,อิ่ม,2,246
1,เหยื่อ,2,247
1,รีบ,2,248
1,ตายใจ,2,249
1,เชิญ,2,250
1,เหล่านาง,2,251
1,เป็นสาว,2,252
1,เหนื่อย,2,253
1,บุรุษ,2,254
1,วาณิช,2,255
1,ต้อนรับ,2,256
1,แท้ๆ,2,257
1,รอดตาย,2,258
1,ที่พัก,2,259
1,อดใจ,2,260
1,รอกิน,2,261
1,ปลอดภัย,2,262
1,อดทน,2,263
1,รอด,2,264
1,มาถึง,2,265
1,เด็ก,2,266
1,หัวหน้านาง,2,267
1,เป็นไง,2,268
1,ระบำ,2,269
1,ฟ้อน,2,270
1,หาย,2,271
1,จำนวน,2,272
1,เฉลียวใจ,2,273
