entity_type,word,frequency,rank
DATE,พรุ่งนี้,19,1
DATE,เมือง,2,2
DATE,กิจ,1,3
DATE,ทรัพย์,1,4
DATE,สวน,1,5
DATE,เย็น,1,6
DATE,พรุ่งนี้เช้า,1,7
DATE,กิเลส,1,8
DATE,เช้า,1,9
LAW,ร่าง,2,1
LAW,ไหม,2,2
LAW,พราหมณ์เฒ่ามีลูกสาวสวยเมืองตักศิลาความงามลูกสาวพราหมณ์ตักศิลา,1,3
LAW,พราหมณ์มานพตักศิลาข้าม,1,4
LAW,ไม้ยุงตัวบินนายพราน,1,5
LAW,เสมือนหนึ่งความเจ็บปวดบอดจิก,1,6
LAW,หินหินหินก้อนพระ,1,7
LAW,เกวียนเย็นทะเลทรายเสียงต้นหน,1,8
LAW,บึงน้ำป่าละเมาะโพรงไม้บึง,1,9
LAW,น้ำชำระล้างเสนาสนะนวดเท้านวดภิกษุรูปนั้น,1,10
LAW,เย็น,1,11
LAW,นิโครธชาดกพญากวางพญากวางนิโครธ,1,12
LAW,พระเจ้าเสนทโกศลเศรษฐี,1,13
LAW,อึดใจ,1,14
LAW,พราหมณ์โดนโจรฟันท่อน,1,15
LAW,ร่างท้าวสัก,1,16
LAW,ร่างยักษ์พรานสุนัขอสูรพระราชา,1,17
LAW,ร่างแรง,1,18
LAW,ร่างตักัณฑิต,1,19
LAW,หางหางหางหางหางหางหางอ้าว,1,20
LAW,เย็นวันหนึ่งเหตุการณ์เกิดขึ้นกับแพะตัวเย็นวันหนึ่งต้อนแพะกลับบ้านคนเลี้ยงแพะ,1,21
LAW,ฤาษีปฏิบัติธรรมสมาบัติ,1,22
LAW,เสียงสี่พื้นว้าวไปยังบรรดาดอกไม้,1,23
LAW,มะม่วง,1,24
LAW,คนดูแลอุทยานมะม่วงกลายเป็น,1,25
LAW,พระโอรสเจ้าคะอุแว้อุแว้,1,26
LAW,วันหนึ่งโกรกลัมพราหมณ์พระราชาท่านโกรกลัม,1,27
LAW,ขอรับพี่ชายขอรับ,1,28
