word,frequency,rank
พระ,3704,1
เจ้า,3389,2
ท่าน,2064,3
ภิกษุ,1201,4
พระองค์,1045,5
ลูก,1003,6
ตัว,980,7
พระราชา,914,8
พระเจ้า,819,9
เศรษฐี,761,10
กิน,702,11
พี่,690,12
พ่อ,687,13
ศาสดา,620,14
พวกเรา,611,15
ป่า,588,16
ตรัส,559,17
พญา,546,18
พราหมณ์,535,19
รู้,530,20
แม่,529,21
น้อง,512,22
หนุ่ม,500,23
ธรรม,498,24
ฟัง,490,25
พระโพธิสัตว์,486,26
ฮ่า,482,27
เดิน,478,28
เรื่อง,470,29
อย่า,465,30
เสด็จ,438,31
พากัน,423,32
ช้าง,423,33
หญิง,410,34
พาราณสี,403,35
ทั้งสอง,397,36
สัตว์,391,37
อาจารย์,371,38
เมือง,363,39
เวลา,359,40
เข้าไป,354,41
ภรรยา,353,42
น้ำ,350,43
โจร,341,44
ฤาษี,334,45
ถวาย,321,46
ไปยัง,317,47
วันหนึ่ง,313,48
พรหมทัต,310,49
ฝูง,306,50
อำมาตย์,304,51
เล่า,300,52
เอ่ย,298,53
ถาม,295,54
ตาย,290,55
ครั้น,280,56
นั่ง,270,57
ดาบส,268,58
มหา,266,59
ช่าง,260,60
โอ้ย,259,61
ลิง,256,62
เสียง,252,63
แล้วก็,252,64
หรอก,247,65
ฆ่า,244,66
ไหม,244,67
เนื้อ,239,68
หนี,237,69
ล่ะ,236,70
ทหาร,233,71
สัมมา,230,72
ปุโรหิต,228,73
พ่อค้า,227,74
สัมพุทธ,224,75
องค์,224,76
ท้าว,224,77
ศิษย์,222,78
ต้น,221,79
ทราบ,216,80
เทวทัต,213,81
เหมือนกัน,207,82
ชาย,206,83
ขอรับ,205,84
เฮ้ย,205,85
ได้ยิน,204,86
ยักษ์,201,87
แพะ,200,88
อาหาร,198,89
แน่,195,90
ที่จะ,194,91
เดี๋ยว,188,92
บัณฑิต,188,93
สามี,183,94
อาศัย,182,95
ปลา,181,96
ราช,179,97
ปล่อย,176,98
รีบ,175,99
หม่อมฉัน,174,100
เอ๋ย,173,101
เฮ้อ,171,102
บวช,168,103
พระพุทธองค์,168,104
ทรัพย์,168,105
ต้นไม้,167,106
ดีกว่า,165,107
พระพุทธเจ้า,164,108
ชาวบ้าน,163,109
สักกะ,163,110
เหมือน,160,111
เกวียน,159,112
โอรส,159,113
บุตร,157,114
รัก,156,115
เล่น,154,116
สอง,149,117
ผ้า,149,118
ม้า,147,119
พระเจ้าค่ะ,146,120
โกศล,146,121
ประทับ,145,122
เข้ามา,144,123
หนู,144,124
วิ่ง,143,125
สุนัขจิ้งจอก,143,126
ชีวิต,142,127
ต่อมา,140,128
ต่อไป,140,129
ชายหนุ่ม,140,130
ราชสีห์,140,131
จัก,138,132
สร้าง,138,133
ยืน,137,134
กลัว,136,135
ปัญญา,136,136
มะม่วง,136,137
สุนัข,135,138
ดื่ม,135,139
สหาย,134,140
สัก,134,141
สำนัก,133,142
กุมาร,133,143
มนุษย์,132,144
บิดา,130,145
แขกเต้า,130,146
กวาง,128,147
เดินทาง,127,148
เลี้ยง,126,149
ทอง,126,150
ฤๅษี,125,151
แบบนี้,124,152
หิว,121,153
ไม้,120,154
สนทนา,119,155
แบ่ง,119,156
คอย,118,157
เชตวัน,118,158
บ้าน,118,159
เจริญ,117,160
ดังนั้น,117,161
สารีบุตร,117,162
บริวาร,114,163
มือ,114,164
หงส์,114,165
สมบัติ,113,166
หิน,112,167
เฝ้า,112,168
ข้าพระองค์,112,169
เกาะ,111,170
พระเถระ,111,171
อุทยาน,109,172
นายพราน,108,173
เทวี,108,174
พระบรมศาสดา,107,175
ผลไม้,107,176
ออกบวช,106,177
กรุง,106,178
ใส่,106,179
โปรด,106,180
ดังนี้,104,181
รูป,104,182
กำเนิด,104,183
ตัก,104,184
หมู่บ้าน,104,185
กลับมา,104,186
ศีล,103,187
เหตุการณ์,103,188
เงิน,103,189
ท่านพี่,103,190
นักบวช,103,191
ดูแล,102,192
ชาติ,101,193
มานพ,101,194
ชาดก,101,195
สั่ง,99,196
พราน,99,197
กษัตริย์,99,198
เด็ก,98,199
แน่ๆ,98,200
มเหสี,98,201
ปัจเจก,96,202
ดูก่อนภิกษุ,95,203
ธิดา,94,204
ตอนนี้,94,205
แคว้น,93,206
วิหาร,92,207
หาย,91,208
ไปหา,91,209
หมู,91,210
โอ๊ย,90,211
กราบทูล,90,212
สมเด็จ,90,213
ท่านพ่อ,89,214
ฉลาด,89,215
กิเลส,88,216
แม่น้ำ,87,217
เอ้,87,218
จีวร,87,219
เทวดา,87,220
บุรุษ,86,221
ตถาคต,86,222
คืน,86,223
ย่ะ,86,224
เท้า,84,225
พัก,84,226
เถระ,84,227
พระนาง,84,228
พุทธเจ้า,84,229
สาม,84,230
เชือก,83,231
ชอบ,82,232
บิน,82,233
หิมพานต์,82,234
ตอบ,82,235
มาถึง,81,236
จิตใจ,81,237
ทิ้ง,81,238
คณะ,80,239
ที่นี่,79,240
ท่านอาจารย์,79,241
เข้าเฝ้า,79,242
ลูกชาย,79,243
นกยูง,78,244
โธ่,78,245
บรรดา,77,246
อร่อย,77,247
ขาย,77,248
เลือก,77,249
สวย,76,250
ประพฤติ,76,251
มนต์,76,252
คนที่,75,253
ท่านอำมาตย์,75,254
ชั่ว,74,255
ขนาด,73,256
สระ,73,257
ศาลา,73,258
เรือ,72,259
ไก่,72,260
ซื้อ,72,261
ผู้อื่น,72,262
โกรธ,72,263
กระต่าย,72,264
โอ้,71,265
นะจ๊ะ,71,266
ตัด,71,267
ฮือ,71,268
เหรอ,71,269
หมู่,71,270
พระทัย,71,271
พระภิกษุ,71,272
เหล้า,71,273
ออกมา,70,274
เรียบร้อย,70,275
ภิกษุณี,70,276
ปริพาชก,70,277
ไหว,69,278
เดิม,69,279
หญิงสาว,69,280
เจอ,69,281
พระนคร,69,282
อาศรม,69,283
รู้สึก,68,284
ครอบครัว,68,285
ญาณ,67,286
สงสัย,67,287
อุบาสก,67,288
อาตมา,67,289
สกา,67,290
เชิญ,66,291
เหนื่อย,66,292
กล้า,66,293
ปรารถนา,66,294
มหาราช,66,295
วานร,66,296
ประตู,66,297
กล่าวว่า,66,298
ฝั่ง,65,299
ศึกษา,65,300
รักษา,65,301
นันท,65,302
พระคุณเจ้า,65,303
หญ้า,65,304
กัด,64,305
จิต,64,306
ขุด,64,307
ร้องไห้,63,308
เที่ยว,63,309
ทิศาปาโมกข์,62,310
เรียน,62,311
ปัญหา,62,312
เมีย,61,313
โทษ,61,314
รัง,61,315
ปาก,61,316
แผน,61,317
หัว,61,318
เต่า,61,319
ชรา,60,320
บำเพ็ญ,60,321
รูปนี้,60,322
จุล,60,323
ถ้ำ,59,324
เช้า,59,325
ข้อ,59,326
ตระกูล,59,327
ไม่ต้อง,59,328
มาร,59,329
บริโภค,59,330
ที่อยู่,58,331
พระเจ้าข้า,58,332
อีกครั้ง,58,333
เสมอ,58,334
ร่าง,58,335
หัวหน้า,57,336
รับสั่ง,57,337
ให้ได้,57,338
สึก,57,339
ราชบุรุษ,57,340
ราชสมบัติ,57,341
ฮ่ะ,57,342
สุรา,57,343
ช่วยกัน,56,344
สมณะ,56,345
เกิดขึ้น,56,346
สงบ,56,347
ห่อ,56,348
สาว,55,349
งาม,55,350
ชื่อ,55,351
แด่,55,352
พี่น้อง,55,353
ก่อนที่,55,354
กระหม่อม,55,355
อัส,55,356
ตื่น,54,357
บรรลุ,54,358
ถ้าอย่างนั้น,54,359
ชฎิล,54,360
แตก,53,361
บังเกิด,53,362
ขโมย,53,363
แทน,52,364
สี่,52,365
สำเร็จ,52,366
อืม,52,367
ร้อง,52,368
เทพบุตร,52,369
โดน,52,370
ชนะ,52,371
สิงโต,52,372
นักเลง,52,373
ออกจาก,51,374
พัน,51,375
พุทธกาล,51,376
เมตตา,51,377
คู่,51,378
พื้น,51,379
ท่านพญา,51,380
รุกขเทวดา,51,381
วัง,51,382
ปัญจ,51,383
ครุฑ,51,384
หลับ,50,385
อ้าว,50,386
พราหมณี,50,387
เลี้ยงดู,50,388
ของมัน,50,389
ปล้น,50,390
ชนบท,50,391
ยินดี,50,392
ปราสาท,50,393
โคตร,50,394
พี่ชาย,49,395
ช่างไม้,49,396
ร้อน,49,397
ลูกสาว,48,398
บุคคล,48,399
ผืน,48,400
แร้ง,48,401
ยิง,48,402
ดาบสผู้,48,403
เสือ,48,404
โกกาลิกะ,48,405
นอน,47,406
ข้าว,47,407
แอบ,47,408
ตกลง,47,409
ภัย,46,410
รู้จัก,46,411
เตรียม,46,412
แล้วจึง,46,413
หยุด,46,414
แมว,46,415
อิ่ม,45,416
ปลอดภัย,45,417
ประชุม,45,418
เค้า,45,419
ตัดสินใจ,45,420
คนเดียว,45,421
คิดถึง,45,422
ร่างกาย,45,423
ต้องการ,45,424
ฝัง,45,425
สมควร,45,426
ในที่สุด,45,427
นายท่าน,45,428
เทวราช,45,429
จากไป,45,430
ศัตรู,45,431
กลิ่น,45,432
หวัง,44,433
หน้า,44,434
เองก็,44,435
นิมนต์,44,436
ความเพียร,44,437
เจ้าชาย,44,438
กลายเป็น,44,439
ตำแหน่ง,44,440
จระเข้,44,441
มารดา,44,442
โง่,43,443
เครื่อง,43,444
แพ้,43,445
ทองคำ,43,446
ยังมี,43,447
สงฆ์,43,448
สมาน,43,449
โยม,43,450
ขบวน,43,451
พระธรรม,42,452
เรือน,42,453
เรือนของ,42,454
ยุง,42,455
เฮอะ,42,456
จัณฑาล,42,457
อากาศ,42,458
จิ้งจอก,42,459
แผ่นดิน,42,460
เหาะ,41,461
สัจจะ,41,462
ทาน,41,463
หมอ,41,464
แล้วทรง,41,465
มหาบพิตร,41,466
ไล่,41,467
อานนท์,41,468
สวน,41,469
พญานาค,41,470
หม้อ,41,471
ละมั่ง,41,472
ศีรษะ,40,473
ชั้น,40,474
ความรัก,40,475
นคร,40,476
ประโยชน์,40,477
ไส้,40,478
กลาง,40,479
นาค,40,480
หาง,40,481
ไก่ป่า,40,482
แท้ๆ,39,483
เฒ่า,39,484
ตัวเอง,39,485
งั้น,39,486
พิจารณา,39,487
ชาวเมือง,39,488
ภูเขา,39,489
กาม,39,490
พุทธ,39,491
พิราบ,39,492
เย็น,39,493
อิน,39,494
ทุกข์,38,495
ตั้งใจ,38,496
ข้าว่า,38,497
อีกแล้ว,38,498
ขอให้,38,499
สำหรับ,38,500
ฟืน,38,501
ทาสี,38,502
หนาว,38,503
แรง,38,504
กองทัพ,38,505
แก้ว,38,506
ข้าม,38,507
หลอกลวง,38,508
พิษ,38,509
ถึงกับ,38,510
สามเณร,38,511
หลง,37,512
ขอบคุณ,37,513
ปฏิบัติธรรม,37,514
ภิกษุสงฆ์,37,515
ช่วยเหลือ,37,516
พัด,37,517
ภัทร,37,518
อชาตศัตรู,37,519
ช่วยด้วย,37,520
ทำลาย,37,521
ให้ท่าน,37,522
ฌาน,37,523
พระพุทธศาสนา,36,524
ผู้คน,36,525
พระราชวัง,36,526
ท้อง,36,527
หนัง,36,528
เสนกะ,36,529
มะเดื่อ,36,530
บ่วง,35,531
บ้านของ,35,532
ความสุข,35,533
เหตุใด,35,534
อดีตชาติ,35,535
กาย,35,536
มณี,35,537
เอ้ย,35,538
โรง,35,539
บริเวณ,35,540
โกสิ,35,541
ญาติ,34,542
ภาพ,34,543
วัด,34,544
ไข่,34,545
บุญ,34,546
ทูล,34,547
เต็ม,34,548
สดับ,34,549
วาง,34,550
เด็กน้อย,34,551
ขอบใจ,34,552
ลอย,34,553
ลึก,34,554
หมาจิ้งจอก,34,555
บรรณศาลา,34,556
ทะเลาะ,34,557
โกง,34,558
กาลิง,34,559
แผ่น,33,560
เพียร,33,561
หอม,33,562
โพธิ,33,563
หนัก,33,564
เอาไว้,33,565
ทำงาน,33,566
ฮ้า,33,567
บึง,33,568
ดอก,33,569
ทีฆ,33,570
ก่อนที่จะ,33,571
สุวรรณ,33,572
สวรรค์,32,573
บาป,32,574
สาวัตถี,32,575
ธนู,32,576
ครอง,32,577
สละ,32,578
เด็กชาย,32,579
เล่ม,32,580
ลืม,32,581
จนได้,32,582
โน้น,32,583
ทาส,32,584
บิณฑบาต,32,585
กระสัน,32,586
ผัก,32,587
ธัมม,32,588
๕๐๐,32,589
สำเภา,31,590
พ้น,31,591
บุตรชาย,31,592
แห่งหนึ่ง,31,593
ปกครอง,31,594
ทัพ,31,595
โขลง,31,596
แม้แต่น้อย,31,597
ศรัทธา,31,598
มะพลับ,31,599
แย่,31,600
ภัตตาหาร,31,601
เสือโคร่ง,31,602
ชื่อว่า,31,603
เข็ม,31,604
แหม,30,605
เสวยพระชาติ,30,606
ออกเดินทาง,30,607
พระอัครสาวก,30,608
เจ็ด,30,609
คาถา,30,610
ไร่,30,611
สู้,30,612
วิเศษ,30,613
ที่อื่น,30,614
เหยียบ,30,615
เดี๋ยวนี้,30,616
ลอง,30,617
ไพเราะ,30,618
อยากได้,30,619
กอง,30,620
นะเนี่ย,30,621
สุกร,30,622
กาลนั้น,29,623
ขัน,29,624
เกียจคร้าน,29,625
เจ็บ,29,626
เหมาะสม,29,627
สินะ,29,628
ความจริง,29,629
ตัดสิน,29,630
ทอดพระเนตร,29,631
อาวุธ,29,632
ตะวัน,29,633
เก่า,29,634
ตรงนี้,29,635
ท่านทั้งหลาย,29,636
คิริ,29,637
ทัต,29,638
กิ้งก่า,29,639
สุว,29,640
โปดก,29,641
หวาน,28,642
สวยงาม,28,643
กิจ,28,644
พระนครพาราณสี,28,645
ศิลา,28,646
แห้ง,28,647
พระธรรมเทศนานี้,28,648
คาบ,28,649
ชาวนา,28,650
สนใจ,28,651
ราชกุมาร,28,652
โรค,28,653
ทำร้าย,28,654
