chapter,similar_chapter,similarity
1,2,0.8527
1,3,0.634
1,4,0.1918
1,5,0.2932
1,6,0.177
1,7,0.2919
1,8,0.4582
1,9,0.2904
1,10,0.1368
2,3,0.6932
2,4,0.823
2,5,0.2874
2,6,0.1923
2,7,0.3535
2,8,0.3825
2,9,0.1907
2,10,0.3929
3,4,0.7602
3,5,0.6845
3,6,0.3255
3,7,0.2321
3,8,0.2783
3,9,0.3436
3,10,0.3796
4,5,0.794
4,6,0.796
4,7,0.2261
4,8,0.3043
4,9,0.3797
4,10,0.2687
5,6,0.7298
5,7,0.8396
5,8,0.2588
5,9,0.418
5,10,0.3161
6,7,0.8368
6,8,0.6178
6,9,0.3707
6,10,0.2127
7,8,0.6383
7,9,0.8627
7,10,0.1262
8,9,0.7372
8,10,0.6256
9,10,0.8672
